idx,formula,a_site,regime,er_measured,pred_original,perm_mean,perm_std,perm_delta
747,LaMg0.5Ti0.5O3,Other,III,27.6,27.283009,27.406009597778322,0.901683875101101,0.12300102233886889
748,La0.9Ca0.1Mg0.45Ti0.55O3,Other,III,29.8,29.181238,28.77341369628906,0.6358820503337665,-0.4078244781494149
749,La0.7Ca0.3Mg0.35Ti0.65O3,Other,III,37.2,34.763405,33.86921638488769,1.358598234013194,-0.8941884613037132
750,La0.3Ca0.7Mg0.15Ti0.85O3,Ca,III,51.2,55.66465,53.62516326904297,6.3712356038515745,-2.0394866943359347
751,La0.3Ca0.7Mg0.15Ti0.85O3,Ca,III,58.8,55.66465,54.46906799316406,7.367683515871794,-1.195581970214846
752,La0.1Ca0.9Mg0.05Ti0.95O3,Ca,III,90.4,95.3149,88.52071868896485,10.208182066124909,-6.7941845703124955
753,La0.1Ca0.9Mg0.05Ti0.95O3,Ca,III,102.5,95.3149,86.65418930053711,10.710110355526528,-8.660713958740232
754,CaZr0.6Ti0.4O3,Ca,III,50.0,46.976326,41.49063903808594,5.8022708022178655,-5.4856869506835935
755,BaNi0.0542Zr0.0215Zn0.2720Ta0.6523O3,Ba,Ib,28.4,28.583567,27.74656463623047,1.0290017710213826,-0.8370020294189437
756,La0.5Ca0.5Mg0.25Ti0.75O3,Ca,III,43.2,41.94828,40.84094055175781,2.8139449892342148,-1.1073397827148455
757,BaNi0.0242Zr0.0425Zn0.2950Ta0.6383O3,Ba,Ib,30.2,29.239864,29.00453842163086,0.8488314691798412,-0.235325927734376
758,SrPr0.5Ta0.5O3,Sr,III,32.0,29.06684,27.187229080200197,2.1553660117526054,-1.8796101379394514
759,SrNd0.5Ta0.5O3,Sr,III,31.5,36.10797,33.71596328735352,3.355580551415019,-2.3920079040527327
760,SrEu0.5Ta0.5O3,Sr,III,30.0,32.489952,31.55075607299805,2.3199593482679908,-0.9391960144042955
761,SrGd0.5Ta0.5O3,Sr,III,29.5,32.59511,31.774746589660644,2.278010703442636,-0.8203652572631839
762,SrTb0.5Ta0.5O3,Sr,III,28.8,30.674297,29.916013145446776,2.0392293011840503,-0.758284187316896
763,SrDy0.5Ta0.5O3,Sr,III,28.2,29.386297,28.352375717163085,1.7097330339155292,-1.0339215087890636
764,SrHo0.5Ta0.5O3,Sr,III,27.7,28.596848,28.360414848327636,1.21157030599825,-0.23643268585205135
765,SrY0.5Ta0.5O3,Sr,III,27.5,25.953781,24.89578811645508,1.632036178747828,-1.0579930114746077
766,SrEr0.5Ta0.5O3,Sr,III,27.1,27.658718,27.414433670043945,1.2427677970558961,-0.24428443908691477
767,SrYb0.5Ta0.5O3,Sr,III,25.9,23.03384,22.504358100891114,0.6727966163725169,-0.5294820785522454
768,SrLa0.5Ta0.5O3,Sr,III,31.2,27.36756,26.197425880432128,1.179439263891877,-1.1701335525512704
769,SrPr0.5Nb0.5O3,Sr,III,36.7,34.033527,32.17871353149414,2.2673676226603265,-1.8548138427734386
