scatter0_x,scatter0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,scatter3_x,scatter3_y,scatter4_x,scatter4_y,scatter5_x,scatter5_y
-0.616928,5.351476,-1.1011907,-2.657405,0.014551055,-4.489978,1.5496242,-0.89249814,-0.36150172,1.23686,2.4815419,-2.5126398
-3.6402504,7.5242434,-1.606015,-2.882539,1.9179388,-2.4280047,2.2289753,-0.6837199,0.54237396,-2.358992,1.528939,-2.9954994
-8.136416,1.3959317,2.7343762,-0.9475612,1.7798543,-2.4570227,-1.0391097,0.25426307,1.6300459,-0.7197599,0.29333064,-3.265647
-6.7363095,2.328135,2.1845772,-1.1893474,1.6687089,-2.4665444,2.1504688,-0.8484255,-0.04910147,1.26906,0.62418884,-2.0970736
-1.9078153,3.8822174,1.7856191,-1.5237432,0.9297319,1.4939185,2.2806938,-1.3063782,-0.5785938,2.0484874,-10.049733,-0.7677901
2.8525681,4.6429625,0.43348548,-3.1866877,1.3557801,-1.7746542,1.377912,-1.7790587,-0.25598514,2.0925384,-0.84697884,-0.084370255
-0.41450268,4.639554,0.32232794,-3.5816472,0.67968637,-1.7467804,1.9557469,-0.24694988,0.16661517,1.9347374,-0.30679527,0.3783176
-1.7699493,5.294838,2.1506736,-1.8277001,3.6965985,3.5214522,-0.08579522,-1.1647733,1.1198885,1.5397954,3.1580145,-2.7020507
3.5556188,3.6500285,1.4143927,-1.7806722,2.653183,-2.9008389,0.69438374,-1.7239746,1.6320764,1.3298825,3.6793756,-1.7115966
-8.007585,0.5933315,0.7881243,-1.142512,2.2726777,-3.2788181,0.9910191,-1.7062927,-0.23530295,3.7636774,3.8492546,-1.4406048
-3.6270273,7.4393964,0.0060963533,0.65506613,2.2142458,-2.2083292,0.91252166,-0.82741314,0.037462495,3.418358,2.7343068,-3.072544
-4.005217,7.3178344,0.7700854,-2.0810988,1.2095646,-2.9663882,1.0521334,-0.7708803,1.2827219,-5.3236275,3.2814984,-2.0850158
-4.4661756,7.10958,1.4701426,-2.5518737,1.0023102,-3.2211375,1.3169425,-0.65049213,2.6748347,0.31719807,4.729084,0.11409656
-3.1710987,7.5102415,-2.053499,-0.21223219,1.0375282,-3.2846413,2.4857538,-0.07935518,2.6718404,0.26258367,2.9385297,-3.0520668
-2.7172987,7.682051,0.056438196,-1.6533352,1.0597826,-3.2847989,2.7211378,0.010250849,3.2266862,3.738364,4.5059056,-0.36058414
-0.4099036,6.0636406,0.5804226,-2.990987,3.1238475,-1.6038487,-0.91050845,0.30657172,2.618033,-3.6477885,2.7927842,-3.250071
-2.5487387,6.5066853,0.8840168,-3.15696,2.5056024,-0.22619969,1.6984608,-3.5340397,2.588417,-3.7396023,4.232527,-0.71798706
-2.423332,5.5828953,2.7561467,-1.616153,1.8337883,0.11494145,2.3846478,-1.0728174,2.6879919,-2.0970585,4.5628953,-0.18443803
-2.50595,7.555565,2.69713,-1.7467731,2.2655354,-0.028309671,4.087622,-1.6963916,3.1240158,0.4812999,2.8887694,2.5019267
-2.9140882,7.39886,2.8312438,-1.4225906,0.9494156,0.28920433,3.7971041,-1.8774823,5.2688932,-0.8601989,2.460381,-3.3077416
-1.6508706,7.1706743,-0.49361244,1.8177459,1.3504624,0.1734809,3.890297,-1.3979048,5.2809157,-0.8210572,3.6653605,-2.4636848
