line0_x,line0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,scatter3_x,scatter3_y,scatter4_x,scatter4_y
,,,,28.399999618530273,25.55146598815918,35.5,37.730690002441406,19.5,16.17637062072754
,,,,30.200000762939453,25.341957092285156,34.0,37.90576934814453,19.700000762939453,16.181537628173828
,,,,29.600000381469727,25.469337463378903,33.5,34.955711364746094,20.100000381469727,16.186796188354492
,,,,31.0,35.96787643432617,33.0,36.27021789550781,20.100000381469727,14.014233589172363
,,,,30.100000381469727,25.264150619506836,23.799999237060547,36.88763427734375,20.200000762939453,28.711380004882812
,,,,29.0,29.309566497802734,44.900001525878906,41.048095703125,23.600000381469727,13.036334991455078
,,,,28.200000762939453,25.698734283447266,23.600000381469727,35.54817199707031,22.600000381469727,13.470466613769531
,,,,28.700000762939453,25.618667602539062,36.20000076293945,45.525970458984375,21.899999618530273,13.465771675109863
,,,,29.299999237060547,25.81243133544922,37.709999084472656,46.214332580566406,22.600000381469727,13.812411308288574
,,,,30.700000762939453,25.616840362548828,32.97999954223633,39.809120178222656,22.8799991607666,14.624005317687988
,,,,29.700000762939453,25.67269515991211,45.0,54.9754753112793,20.959999084472656,14.621698379516602
,,,,30.0,25.14747428894043,44.900001525878906,41.59428787231445,22.059999465942383,14.898025512695312
,,,,44.70000076293945,20.81146240234375,44.900001525878906,47.08027267456055,27.700000762939453,25.493846893310547
,,,,45.0,23.017478942871097,45.0,53.4678955078125,27.100000381469727,28.564062118530273
,,,,44.599998474121094,22.283336639404297,45.0,55.005218505859375,19.0,14.135732650756836
,,,,43.0,22.83093643188477,45.0,53.175323486328125,19.399999618530273,15.573644638061523
,,,,43.0,25.483423233032227,45.0,50.21198272705078,19.200000762939453,15.275500297546388
,,,,44.400001525878906,33.5487060546875,45.0,41.92368698120117,19.299999237060547,15.08363914489746
,,,,43.79999923706055,20.770668029785156,45.0,55.48857116699219,37.400001525878906,38.14723205566406
,,,,43.5,37.262691497802734,43.5,31.55368423461914,41.900001525878906,31.825984954833984
,,,,47.900001525878906,23.57443618774414,44.20000076293945,48.78418731689453,27.100000381469727,34.18911361694336
,,,,48.0,21.766326904296875,42.79999923706055,50.93714141845703,36.0,29.562450408935547
,,,,47.400001525878906,50.51653671264648,43.400001525878906,51.71611404418945,27.100000381469727,26.185855865478516
,,,,45.0,28.277164459228516,43.599998474121094,49.487998962402344,20.0,20.76859664916992
,,,,46.099998474121094,22.70526123046875,43.70000076293945,53.58404541015625,20.899999618530273,20.633522033691406
,,,,46.29999923706055,33.556034088134766,44.0,55.910457611083984,27.0,19.811134338378903
,,,,47.0,41.3881721496582,44.0,51.73065185546875,19.5,20.4776554107666
,,,,46.599998474121094,26.428985595703125,47.900001525878906,58.419246673583984,20.0,19.621315002441406
,,,,42.400001525878906,20.95354461669922,47.70000076293945,53.84121322631836,19.600000381469727,19.561203002929688
,,,,42.29999923706055,16.679826736450195,48.0,52.38996887207031,21.100000381469727,19.025867462158203
,,,,38.900001525878906,43.453338623046875,48.599998474121094,62.75758743286133,27.5,30.224702835083008
,,,,39.0,30.690998077392575,48.599998474121094,59.415924072265625,29.700000762939453,28.330039978027344
,,,,37.599998474121094,22.124370574951172,48.70000076293945,55.94078826904297,31.799999237060547,27.829395294189453
,,,,37.0,22.83535385131836,45.099998474121094,54.09822082519531,29.399999618530273,26.322341918945312
,,,,37.20000076293945,20.434438705444336,46.400001525878906,48.33790588378906,26.0,24.09069442749023
,,,,37.29999923706055,25.597991943359375,47.400001525878906,53.34067916870117,20.600000381469727,21.424253463745117
,,,,37.0,33.40553283691406,46.900001525878906,48.388710021972656,38.0,29.87148666381836
,,,,39.400001525878906,39.20552062988281,47.0,52.2701416015625,31.0,26.32491874694824
,,,,39.599998474121094,27.492530822753903,38.0,41.83141326904297,23.0,24.358030319213867
,,,,41.099998474121094,20.916288375854492,38.0,43.12928771972656,26.0,29.86226272583008
,,,,42.0,20.96837615966797,38.79999923706055,39.58595275878906,23.0,26.257617950439453
,,,,42.0,26.713830947875977,38.900001525878906,42.347259521484375,20.0,24.36024475097656
,,,,42.099998474121094,30.157135009765625,39.0,42.0493049621582,35.0,27.046398162841797
,,,,40.0,26.893394470214844,39.099998474121094,37.59111022949219,30.0,23.91425895690918
,,,,39.70000076293945,17.053939819335938,37.599998474121094,41.92653274536133,26.0,23.414306640625
,,,,40.0,20.946027755737305,37.0,44.06237030029297,29.0,23.339221954345703
,,,,40.0,20.916288375854492,39.20000076293945,53.61155700683594,12.0,22.589101791381836
,,,,40.0,22.327903747558594,37.20000076293945,47.821964263916016,30.0,26.826004028320312
,,,,40.0,30.428539276123047,37.29999923706055,39.6907958984375,26.0,24.158336639404297
,,,,49.400001525878906,45.216121673583984,41.400001525878906,52.619503021240234,20.0,23.028411865234375
,,,,86.0,26.527297973632812,42.0,51.661521911621094,17.0,27.938140869140625
,,,,133.0,41.868751525878906,42.0,50.73106384277344,13.0,25.0074462890625
